Rank,Country Name,Country Code,Region,Income Group,Institutions,Open Markets,Economic Freedom Index
107,Senegal,SEN,Sub-Saharan Africa,Lower middle income,46.031746031746025,47.61904761904761,46.82539682539682
108,Jamaica,JAM,Latin America & Caribbean,Upper middle income,56.34920634920635,36.59611992945326,46.4726631393298
109,Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,25.661375661375658,65.25573192239858,45.45855379188712
110,Djibouti,DJI,Middle East & North Africa,Lower middle income,17.46031746031746,73.19223985890652,45.32627865961199
111,South Africa,ZAF,Sub-Saharan Africa,Upper middle income,53.96825396825396,35.09700176366843,44.532627865961196
112,Cambodia,KHM,East Asia & Pacific,Lower middle income,22.486772486772487,65.96119929453262,44.22398589065256
113,Guyana,GUY,Latin America & Caribbean,High income,39.682539682539684,47.97178130511464,43.827160493827165
114,Tunisia,TUN,Middle East & North Africa,Lower middle income,39.94708994708995,47.08994708994709,43.51851851851852
115,Belize,BLZ,Latin America & Caribbean,Upper middle income,37.56613756613757,46.560846560846564,42.06349206349206
116,Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,48.14814814814815,34.21516754850088,41.18165784832452
117,Honduras,HND,Latin America & Caribbean,Lower middle income,20.37037037037037,61.19929453262787,40.78483245149912
118,Benin,BEN,Sub-Saharan Africa,Lower middle income,40.21164021164021,41.269841269841265,40.74074074074073
119,Solomon Islands,SLB,East Asia & Pacific,Lower middle income,36.77248677248677,44.003527336860664,40.38800705467372
120,Ukraine,UKR,Europe & Central Asia,Upper middle income,34.39153439153439,46.03174603174603,40.211640211640216
121,Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,27.77777777777778,51.85185185185185,39.81481481481481
122,Paraguay,PRY,Latin America & Caribbean,Upper middle income,40.21164021164021,38.97707231040564,39.594356261022924
123,Guatemala,GTM,Latin America & Caribbean,Upper middle income,30.423280423280424,48.67724867724868,39.55026455026455
124,Mexico,MEX,Latin America & Caribbean,Upper middle income,30.423280423280424,46.38447971781304,38.403880070546734
125,Vanuatu,VUT,East Asia & Pacific,Lower middle income,53.17460317460318,23.456790123456788,38.31569664902998
126,Colombia,COL,Latin America & Caribbean,Upper middle income,44.973544973544975,31.040564373897713,38.00705467372134
127,India,IND,South Asia,Lower middle income,51.85185185185185,23.985890652557316,37.91887125220458
128,Libya,LBY,Middle East & North Africa,Upper middle income,2.645502645502645,71.0758377425044,36.860670194003525
129,Ecuador,ECU,Latin America & Caribbean,Upper middle income,23.015873015873012,50.08818342151676,36.552028218694886
130,Ghana,GHA,Sub-Saharan Africa,Lower middle income,53.7037037037037,18.871252204585534,36.28747795414462
131,Iraq,IRQ,Middle East & North Africa,Upper middle income,9.25925925925926,62.61022927689594,35.9347442680776
132,Lao PDR,LAO,East Asia & Pacific,Lower middle income,26.98412698412698,44.26807760141094,35.62610229276896
133,Cuba,CUB,Latin America & Caribbean,Upper middle income,17.989417989417987,52.91005291005291,35.44973544973545
134,Gabon,GAB,Sub-Saharan Africa,Upper middle income,19.31216931216931,50.08818342151676,34.70017636684304
135,Mauritania,MRT,Sub-Saharan Africa,Lower middle income,21.693121693121693,46.56084656084656,34.12698412698413
136,Togo,TGO,Sub-Saharan Africa,Low income,33.86243386243386,34.21516754850088,34.03880070546737
137,Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,40.47619047619047,26.984126984126984,33.73015873015873
138,Nicaragua,NIC,Latin America & Caribbean,Lower middle income,8.465608465608465,55.820105820105816,32.14285714285714
139,Afghanistan,AFG,Middle East & North Africa,Low income,1.8518518518518519,61.37566137566137,31.613756613756614
140,Belarus,BLR,Europe & Central Asia,Upper middle income,8.994708994708994,53.61552028218696,31.305114638447975
141,Suriname,SUR,Latin America & Caribbean,Upper middle income,30.95238095238095,30.864197530864192,30.90828924162257
142,Mozambique,MOZ,Sub-Saharan Africa,Low income,15.343915343915343,46.38447971781306,30.8641975308642
143,Tajikistan,TJK,Europe & Central Asia,Lower middle income,16.666666666666664,44.620811287477956,30.64373897707231
144,Tanzania,TZA,Sub-Saharan Africa,Lower middle income,33.06878306878306,27.160493827160494,30.114638447971778
145,Uzbekistan,UZB,Europe & Central Asia,Lower middle income,30.423280423280424,29.62962962962963,30.026455026455025
146,West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,27.513227513227513,32.451499118165785,29.98236331569665
147,São Tomé and Principe,STP,Sub-Saharan Africa,Lower middle income,28.835978835978835,30.8641975308642,29.85008818342152
148,Türkiye,TUR,Europe & Central Asia,Upper middle income,35.44973544973544,23.28042328042328,29.36507936507936
149,Lebanon,LBN,Middle East & North Africa,Lower middle income,14.814814814814813,43.915343915343904,29.36507936507936
